id_materia,id_carrera,nombre
3859,82,METEOROLOGIA Y CLIMATOLOGIA
3873,82,TECNOLOGIAS PARA EL MANEJO DE DATOS ESPACIALES
0,82,GEOMETRIA Y TRIGONOMETRIA
41,82,ALGEBRA A
1006,82,TECNICAS DE COMUNICACION ORAL Y ESCRITA
1120,82,GEOMETRIA DESCRIPTIVA
2002,83,SEMINARIO DE ORIENTACION EN COMPUTACION
2229,83,PENSAMIENTO ALGORITMICO
2805,83,HERRAMIENTAS DE SOFTWARE
2150,83,TEMAS SELECTOS DE MATEMATICAS
2151,83,MATEMATICAS DISCRETAS I
71,83,QUIMICA A
1005,83,METODOLOGIA DE LA INVESTIGACION
711,83,QUIMICA A
